nohup: ignoring input
Query 1: s=1084755, t=4912229... Graph (reordered by Region): n=6789958, m=20190920, Regions=128, Queries=100
[Init] kernel_1(init residual/excess)=4.337 ms, kernel_7(preflow)=0.024 ms
Iteration 35: init_hl=0.000 ms, bfs=0.000 ms, push_relabel=0.061 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 36: init_hl=0.000 ms, bfs=0.000 ms, push_relabel=0.061 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 37: init_hl=0.000 ms, bfs=0.000 ms, push_relabel=0.062 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 38: init_hl=0.000 ms, bfs=0.000 ms, push_relabel=0.062 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 39: init_hl=0.000 ms, bfs=0.000 ms, push_relabel=0.759 ms (K=4, mode=path-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 40: init_hl=0.000 ms, bfs=0.000 ms, push_relabel=0.062 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 41: init_hl=0.000 ms, bfs=0.000 ms, push_relabel=0.061 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 42: init_hl=0.000 ms, bfs=0.000 ms, push_relabel=0.061 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 43: init_hl=0.000 ms, bfs=0.000 ms, push_relabel=0.061 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 44: init_hl=0.000 ms, bfs=0.000 ms, push_relabel=0.062 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 45: init_hl=0.000 ms, bfs=0.000 ms, push_relabel=0.062 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 46: init_hl=0.000 ms, bfs=0.000 ms, push_relabel=0.061 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 47: init_hl=0.000 ms, bfs=0.000 ms, push_relabel=0.815 ms (K=4, mode=path-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 48: init_hl=0.000 ms, bfs=0.000 ms, push_relabel=0.061 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 49: init_hl=0.000 ms, bfs=0.000 ms, push_relabel=0.061 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

